Year,State,FAH sales million nominal U.S. dollars without taxes and tips,FAFH sales million nominal U.S. dollars without taxes and tips,Total sales million nominal U.S. dollars without taxes and tips,FAH sales million constant 1988 U.S. dollars without taxes and tips,FAFH sales million constant 1988 U.S. dollars without taxes and tips,Total food sales million constant 1988 U.S. dollars without taxes and tips
2002,Michigan,"14,092.11","10,223.53","24,315.64","9,535.58","6,860.30","16,395.88"
2003,Michigan,"14,338.05","10,558.22","24,896.27","9,567.01","6,946.51","16,513.52"
2004,Michigan,"14,742.83","11,060.72","25,803.54","9,560.00","7,068.07","16,628.06"
2005,Michigan,"15,093.52","11,462.09","26,555.61","9,582.26","7,082.71","16,664.97"
2006,Michigan,"15,395.26","11,870.66","27,265.92","9,619.95","7,140.56","16,760.52"
2007,Michigan,"15,763.90","12,068.22","27,832.11","9,473.96","7,017.75","16,491.71"
2008,Michigan,"16,187.31","12,137.13","28,324.44","9,143.13","6,738.44","15,881.56"
2009,Michigan,"15,728.72","11,781.09","27,509.81","8,800.62","6,305.40","15,106.02"
2010,Michigan,"16,171.07","12,064.69","28,235.76","9,007.93","6,386.96","15,394.89"
2011,Michigan,"16,850.73","12,734.77","29,585.51","8,965.02","6,576.02","15,541.04"
2012,Michigan,"17,971.42","13,508.79","31,480.21","9,317.15","6,778.54","16,095.70"
2013,Michigan,"18,909.49","14,194.83","33,104.31","9,749.56","6,954.95","16,704.51"
2014,Michigan,"19,871.78","15,211.34","35,083.13","9,997.47","7,252.58","17,250.05"
2015,Michigan,"20,288.38","16,408.66","36,697.04","10,150.98","7,591.47","17,742.46"
2016,Michigan,"20,971.87","17,514.67","38,486.54","10,634.36","7,901.05","18,535.42"
2017,Michigan,"22,621.77","18,668.44","41,290.21","11,512.07","8,283.13","19,795.20"
2018,Michigan,"22,875.76","19,245.41","42,121.17","11,637.93","8,339.74","19,977.67"
2019,Michigan,"23,206.07","19,889.90","43,095.97","11,748.07","8,394.74","20,142.81"
2020,Michigan,"23,680.08","16,615.68","40,295.76","11,651.70","6,838.63","18,490.33"
2021,Michigan,"25,664.43","20,691.93","46,356.36","12,209.39","8,104.08","20,313.46"
2022,Michigan,"28,330.71","23,762.02","52,092.73","11,942.42","8,559.00","20,501.42"
2023,Michigan,"29,275.19","26,328.57","55,603.76","11,728.70","8,878.66","20,607.36"
1997,Minnesota,"6,305.55","4,225.81","10,531.35","4,715.84","3,222.66","7,938.50"
1998,Minnesota,"6,460.45","4,460.69","10,921.13","4,745.36","3,315.98","8,061.34"
1999,Minnesota,"6,875.60","4,680.53","11,556.13","4,946.13","3,393.82","8,339.95"
2000,Minnesota,"7,223.35","5,063.61","12,286.96","5,078.85","3,570.57","8,649.42"
2001,Minnesota,"7,687.38","5,299.71","12,987.09","5,241.81","3,632.76","8,874.57"
2002,Minnesota,"7,816.83","5,548.59","13,365.41","5,289.34","3,723.27","9,012.61"
2003,Minnesota,"7,988.89","5,830.56","13,819.44","5,330.56","3,836.06","9,166.62"
2004,Minnesota,"8,213.47","6,255.86","14,469.33","5,326.03","3,997.65","9,323.68"
2005,Minnesota,"8,591.81","6,653.48","15,245.29","5,454.59","4,111.35","9,565.94"
2006,Minnesota,"8,772.48","6,942.17","15,714.64","5,481.61","4,175.93","9,657.53"
2007,Minnesota,"8,968.46","7,220.53","16,189.00","5,389.97","4,198.79","9,588.76"
2008,Minnesota,"9,308.98","7,332.82","16,641.80","5,258.02","4,071.12","9,329.14"
2009,Minnesota,"9,254.55","7,208.22","16,462.77","5,178.16","3,857.94","9,036.09"
2010,Minnesota,"9,495.35","7,337.54","16,832.89","5,289.29","3,884.44","9,173.73"
2011,Minnesota,"10,137.17","7,785.46","17,922.63","5,393.23","4,020.28","9,413.51"
2012,Minnesota,"11,086.58","8,187.83","19,274.41","5,747.76","4,108.55","9,856.31"
2013,Minnesota,"11,434.13","8,588.94","20,023.06","5,895.33","4,208.27","10,103.60"
2014,Minnesota,"11,424.57","9,152.45","20,577.02","5,747.69","4,363.77","10,111.46"
2015,Minnesota,"11,223.46","9,889.27","21,112.73","5,615.49","4,575.28","10,190.76"
2016,Minnesota,"11,375.19","10,469.61","21,844.80","5,768.10","4,722.95","10,491.05"
2017,Minnesota,"11,682.63","11,126.67","22,809.30","5,945.22","4,936.87","10,882.08"
2018,Minnesota,"12,207.80","11,576.82","23,784.62","6,210.66","5,016.66","11,227.31"
2019,Minnesota,"12,497.16","12,042.51","24,539.68","6,326.69","5,082.67","11,409.36"
2020,Minnesota,"13,050.05","10,046.44","23,096.49","6,421.23","4,134.88","10,556.12"
2021,Minnesota,"14,097.81","12,732.61","26,830.42","6,706.78","4,986.78","11,693.56"
2022,Minnesota,"15,103.28","14,684.21","29,787.49","6,366.58","5,289.21","11,655.78"
2023,Minnesota,"15,242.67","16,049.78","31,292.45","6,106.77","5,412.39","11,519.16"
1997,Mississippi,"2,785.92","1,843.67","4,629.59","2,071.95","1,415.72","3,487.66"
1998,Mississippi,"2,894.23","2,044.56","4,938.79","2,121.09","1,529.67","3,650.76"
1999,Mississippi,"3,125.78","2,265.72","5,391.50","2,255.01","1,654.68","3,909.69"
2000,Mississippi,"3,225.84","2,484.36","5,710.20","2,266.33","1,774.13","4,040.46"
2001,Mississippi,"3,486.07","2,547.91","6,033.98","2,381.08","1,771.95","4,153.04"
2002,Mississippi,"3,566.90","2,746.28","6,313.18","2,405.00","1,867.47","4,272.47"
2003,Mississippi,"3,679.92","2,890.05","6,569.97","2,428.75","1,919.38","4,348.13"
2004,Mississippi,"3,931.65","3,069.77","7,001.42","2,496.46","1,977.58","4,474.04"
2005,Mississippi,"4,185.63","3,155.38","7,341.01","2,604.74","1,975.54","4,580.28"
2006,Mississippi,"4,442.08","3,286.34","7,728.42","2,711.74","1,996.27","4,708.00"
2007,Mississippi,"4,678.30","3,432.29","8,110.59","2,740.98","2,016.06","4,757.04"
2008,Mississippi,"4,928.18","3,570.37","8,498.55","2,705.48","2,004.88","4,710.35"
2009,Mississippi,"4,847.35","3,523.75","8,371.10","2,640.99","1,909.38","4,550.37"
2010,Mississippi,"5,082.03","3,635.19","8,717.21","2,752.65","1,944.98","4,697.62"
2011,Mississippi,"5,351.20","3,871.68","9,222.88","2,757.30","2,026.44","4,783.75"
2012,Mississippi,"5,810.72","4,092.33","9,903.05","2,915.32","2,084.57","4,999.89"
2013,Mississippi,"5,867.44","4,266.70","10,134.14","2,909.20","2,124.62","5,033.82"
2014,Mississippi,"6,023.48","4,523.46","10,546.94","2,915.52","2,200.65","5,116.16"
2015,Mississippi,"5,968.56","4,886.04","10,854.60","2,859.42","2,306.65","5,166.06"
2016,Mississippi,"6,056.45","5,173.80","11,230.25","2,943.34","2,394.64","5,337.97"
2017,Mississippi,"6,569.02","5,470.85","12,039.87","3,199.55","2,482.14","5,681.69"
2018,Mississippi,"6,716.87","5,650.98","12,367.85","3,261.81","2,510.88","5,772.69"
2019,Mississippi,"6,820.15","5,904.99","12,725.14","3,289.33","2,545.49","5,834.81"
2020,Mississippi,"7,128.56","5,579.07","12,707.63","3,321.20","2,341.07","5,662.27"
2021,Mississippi,"7,663.31","6,769.59","14,432.90","3,451.78","2,734.87","6,186.65"
2022,Mississippi,"7,609.73","7,214.04","14,823.77","3,077.46","2,704.28","5,781.75"
2023,Mississippi,"7,636.18","7,692.27","15,328.46","2,931.51","2,692.05","5,623.56"
1997,Missouri,"7,020.73","5,234.29","12,255.01","5,250.72","3,991.74","9,242.45"
1998,Missouri,"7,100.87","5,477.08","12,577.95","5,215.77","4,071.55","9,287.31"
1999,Missouri,"7,398.08","5,695.86","13,093.94","5,322.00","4,130.02","9,452.02"
2000,Missouri,"7,707.48","6,065.32","13,772.79","5,419.25","4,276.92","9,696.17"
2001,Missouri,"7,872.83","6,248.23","14,121.06","5,368.26","4,282.94","9,651.21"
2002,Missouri,"8,093.77","6,493.77","14,587.55","5,476.74","4,357.52","9,834.26"
2003,Missouri,"8,640.03","6,786.41","15,426.44","5,765.03","4,464.94","10,229.97"
2004,Missouri,"9,074.93","7,210.84","16,285.78","5,884.65","4,607.90","10,492.55"
2005,Missouri,"9,687.09","7,545.28","17,232.38","6,149.94","4,662.42","10,812.36"
2006,Missouri,"10,171.79","7,978.62","18,150.41","6,355.99","4,799.39","11,155.38"
2007,Missouri,"10,588.64","8,247.68","18,836.32","6,363.68","4,796.08","11,159.76"
2008,Missouri,"10,970.38","8,450.58","19,420.96","6,196.44","4,691.69","10,888.13"
2009,Missouri,"10,767.71","8,352.49","19,120.20","6,024.81","4,470.36","10,495.17"
2010,Missouri,"11,309.98","8,548.82","19,858.80","6,300.11","4,525.68","10,825.79"
2011,Missouri,"11,667.02","8,898.59","20,565.62","6,207.16","4,595.08","10,802.23"
2012,Missouri,"12,360.21","9,252.05","21,612.26","6,408.06","4,642.56","11,050.63"
2013,Missouri,"12,655.07","9,689.11","22,344.19","6,524.84","4,747.32","11,272.16"
2014,Missouri,"12,916.71","10,339.33","23,256.04","6,498.38","4,929.66","11,428.04"
2015,Missouri,"12,941.78","11,209.36","24,151.14","6,475.22","5,186.02","11,661.24"
2016,Missouri,"13,171.59","11,861.45","25,033.04","6,679.02","5,350.82","12,029.84"
2017,Missouri,"14,006.01","12,517.51","26,523.52","7,127.57","5,553.98","12,681.54"
2018,Missouri,"14,278.90","12,982.07","27,260.97","7,264.32","5,625.60","12,889.92"
2019,Missouri,"14,329.94","13,452.86","27,782.81","7,254.54","5,677.92","12,932.45"
2020,Missouri,"14,751.38","12,165.02","26,916.40","7,258.36","5,006.85","12,265.21"
2021,Missouri,"15,816.26","15,017.90","30,834.17","7,524.30","5,881.82","13,406.12"
2022,Missouri,"16,346.61","16,513.51","32,860.12","6,890.68","5,948.11","12,838.80"
2023,Missouri,"16,535.15","17,754.85","34,290.00","6,624.58","5,987.38","12,611.96"
1997,Montana,"1,368.18",800.16,"2,168.35",978.23,624.49,"1,602.73"
1998,Montana,"1,388.88",824.20,"2,213.08",963.44,626.52,"1,589.96"
1999,Montana,"1,472.85",846.51,"2,319.36","1,001.40",629.89,"1,631.29"
2000,Montana,"1,498.78",907.49,"2,406.27",998.62,660.49,"1,659.11"
2001,Montana,"1,513.87",930.72,"2,444.58",968.21,656.65,"1,624.86"
2002,Montana,"1,523.98",976.02,"2,500.00",956.80,666.63,"1,623.43"
2003,Montana,"1,641.65","1,042.48","2,684.13","1,003.61",698.48,"1,702.10"
2004,Montana,"1,775.34","1,136.62","2,911.96","1,046.33",738.83,"1,785.16"
2005,Montana,"1,929.15","1,222.79","3,151.94","1,126.71",767.37,"1,894.08"
2006,Montana,"2,057.40","1,295.28","3,352.68","1,187.31",789.69,"1,977.00"
2007,Montana,"2,236.99","1,360.17","3,597.16","1,232.90",800.56,"2,033.46"
2008,Montana,"2,311.29","1,421.30","3,732.59","1,199.83",805.88,"2,005.72"
2009,Montana,"2,219.43","1,383.26","3,602.69","1,160.59",760.62,"1,921.21"
2010,Montana,"2,228.34","1,404.68","3,633.02","1,172.29",763.44,"1,935.73"
2011,Montana,"2,291.83","1,484.93","3,776.76","1,149.52",789.33,"1,938.85"
2012,Montana,"2,416.85","1,583.60","4,000.46","1,190.74",816.80,"2,007.54"
2013,Montana,"2,466.93","1,700.65","4,167.57","1,204.63",859.07,"2,063.70"
2014,Montana,"2,603.27","1,821.45","4,424.72","1,236.68",897.91,"2,134.59"
2015,Montana,"2,669.36","2,016.85","4,686.21","1,247.18",966.45,"2,213.63"
2016,Montana,"2,756.75","2,159.33","4,916.08","1,302.96","1,001.84","2,304.81"
2017,Montana,"2,913.35","2,305.32","5,218.67","1,381.25","1,035.63","2,416.89"
2018,Montana,"3,121.64","2,450.96","5,572.59","1,473.56","1,064.78","2,538.35"
2019,Montana,"3,252.13","2,588.48","5,840.61","1,512.12","1,085.92","2,598.04"
2020,Montana,"3,473.13","2,504.15","5,977.29","1,552.95","1,004.53","2,557.47"
2021,Montana,"3,823.90","3,216.99","7,040.89","1,638.33","1,230.48","2,868.81"
2022,Montana,"4,096.79","3,581.94","7,678.73","1,575.57","1,277.04","2,852.61"
2023,Montana,"4,162.43","3,848.44","8,010.87","1,530.01","1,276.91","2,806.92"
1997,Nebraska,"2,391.60","1,333.56","3,725.17","1,788.65","1,016.99","2,805.65"
1998,Nebraska,"2,475.19","1,398.06","3,873.24","1,818.08","1,039.29","2,857.37"
1999,Nebraska,"2,597.41","1,498.78","4,096.19","1,868.51","1,086.75","2,955.26"
2000,Nebraska,"2,722.23","1,627.82","4,350.05","1,914.04","1,147.85","3,061.89"
2001,Nebraska,"2,758.06","1,659.24","4,417.30","1,880.64","1,137.35","3,017.99"
2002,Nebraska,"2,681.21","1,724.98","4,406.20","1,814.27","1,157.52","2,971.79"
2003,Nebraska,"2,794.83","1,823.75","4,618.58","1,864.84","1,199.89","3,064.73"
2004,Nebraska,"2,959.51","1,931.78","4,891.29","1,919.10","1,234.45","3,153.55"
2005,Nebraska,"3,164.25","2,036.60","5,200.85","2,008.86","1,258.46","3,267.32"
2006,Nebraska,"3,246.31","2,136.97","5,383.29","2,028.50","1,285.45","3,313.96"
2007,Nebraska,"3,490.60","2,226.52","5,717.12","2,097.82","1,294.74","3,392.56"
2008,Nebraska,"3,659.18","2,291.74","5,950.92","2,066.83","1,272.35","3,339.18"
2009,Nebraska,"3,583.03","2,292.50","5,875.54","2,004.80","1,226.98","3,231.78"
2010,Nebraska,"3,661.70","2,359.57","6,021.27","2,039.71","1,249.14","3,288.85"
2011,Nebraska,"3,783.40","2,485.09","6,268.49","2,012.87","1,283.26","3,296.13"
2012,Nebraska,"4,010.60","2,612.09","6,622.69","2,079.27","1,310.71","3,389.98"
2013,Nebraska,"4,122.75","2,762.92","6,885.67","2,125.65","1,353.73","3,479.38"
2014,Nebraska,"4,419.06","2,964.72","7,383.77","2,223.22","1,413.54","3,636.76"
2015,Nebraska,"4,532.48","3,209.52","7,742.00","2,267.76","1,484.89","3,752.64"
2016,Nebraska,"4,659.49","3,440.74","8,100.23","2,362.72","1,552.15","3,914.88"
2017,Nebraska,"4,931.09","3,681.96","8,613.06","2,509.40","1,633.68","4,143.08"
2018,Nebraska,"4,993.69","3,827.79","8,821.48","2,540.52","1,658.72","4,199.23"
2019,Nebraska,"5,077.25","3,983.19","9,060.44","2,570.36","1,681.15","4,251.50"
2020,Nebraska,"5,332.75","3,750.01","9,082.75","2,623.96","1,543.42","4,167.38"
2021,Nebraska,"5,806.47","4,613.26","10,419.73","2,762.32","1,806.80","4,569.12"
2022,Nebraska,"5,987.71","5,141.95","11,129.66","2,524.04","1,852.11","4,376.15"
2023,Nebraska,"6,002.65","5,502.01","11,504.66","2,404.88","1,855.42","4,260.29"
1997,Nevada,"2,714.11","3,563.90","6,278.01","1,940.55","2,781.47","4,722.03"
1998,Nevada,"2,791.11","3,797.27","6,588.38","1,936.15","2,886.50","4,822.65"
1999,Nevada,"2,920.96","4,374.25","7,295.21","1,985.98","3,254.88","5,240.86"
2000,Nevada,"3,051.46","4,928.21","7,979.67","2,033.14","3,586.87","5,620.01"
2001,Nevada,"3,231.96","4,988.16","8,220.11","2,067.03","3,519.32","5,586.36"
2002,Nevada,"3,343.45","5,078.42","8,421.86","2,099.12","3,468.61","5,567.73"
2003,Nevada,"3,597.62","5,324.12","8,921.74","2,199.38","3,567.28","5,766.66"
2004,Nevada,"3,983.17","5,811.24","9,794.40","2,347.55","3,777.46","6,125.01"
2005,Nevada,"4,408.88","6,250.89","10,659.78","2,574.98","3,922.77","6,497.75"
2006,Nevada,"4,978.15","6,715.11","11,693.26","2,872.87","4,093.99","6,966.86"
2007,Nevada,"5,396.94","6,951.10","12,348.04","2,974.49","4,091.23","7,065.73"
2008,Nevada,"5,673.19","7,170.18","12,843.38","2,945.06","4,065.52","7,010.58"
2009,Nevada,"5,434.02","6,742.87","12,176.89","2,841.58","3,707.71","6,549.30"
2010,Nevada,"5,485.95","7,043.28","12,529.23","2,886.06","3,827.99","6,714.05"
2011,Nevada,"5,617.90","7,545.81","13,163.71","2,817.78","4,011.07","6,828.86"
2012,Nevada,"6,021.15","7,943.65","13,964.80","2,966.52","4,097.20","7,063.73"
2013,Nevada,"6,195.88","8,483.23","14,679.11","3,025.52","4,285.25","7,310.78"
2014,Nevada,"6,609.86","9,269.40","15,879.27","3,140.01","4,569.48","7,709.49"
2015,Nevada,"6,941.01","10,089.86","17,030.87","3,242.97","4,834.95","8,077.91"
2016,Nevada,"7,050.32","10,690.18","17,740.50","3,332.29","4,959.83","8,292.13"
2017,Nevada,"7,444.36","11,297.00","18,741.35","3,529.45","5,075.02","8,604.47"
2018,Nevada,"7,890.78","11,934.85","19,825.63","3,724.83","5,184.93","8,909.75"
2019,Nevada,"8,375.52","12,631.20","21,006.72","3,894.30","5,299.03","9,193.33"
2020,Nevada,"9,343.89","10,376.56","19,720.46","4,177.95","4,162.49","8,340.44"
2021,Nevada,"10,126.52","14,224.51","24,351.04","4,338.66","5,440.80","9,779.46"
2022,Nevada,"11,942.73","16,960.79","28,903.52","4,593.01","6,046.90","10,639.91"
2023,Nevada,"12,295.31","19,282.74","31,578.06","4,519.45","6,398.01","10,917.46"
1997,New Hampshire,"2,396.21","1,248.46","3,644.68","1,768.92",988.76,"2,757.67"
1998,New Hampshire,"2,425.17","1,317.91","3,743.07","1,764.03","1,018.24","2,782.26"
1999,New Hampshire,"2,629.41","1,413.01","4,042.42","1,872.53","1,061.23","2,933.76"
2000,New Hampshire,"2,750.16","1,534.97","4,285.13","1,927.38","1,128.68","3,056.06"
2001,New Hampshire,"2,859.21","1,599.18","4,458.40","1,942.05","1,142.02","3,084.06"
2002,New Hampshire,"2,939.70","1,694.90","4,634.60","1,975.29","1,181.01","3,156.30"
2003,New Hampshire,"2,950.50","1,753.74","4,704.24","1,938.76","1,196.93","3,135.70"
2004,New Hampshire,"3,143.85","1,870.18","5,014.04","1,978.42","1,242.85","3,221.27"
2005,New Hampshire,"3,316.72","1,946.94","5,263.66","2,033.44","1,258.14","3,291.58"
2006,New Hampshire,"3,462.01","2,025.01","5,487.02","2,075.46","1,262.76","3,338.22"
2007,New Hampshire,"3,600.38","2,064.48","5,664.86","2,077.32","1,235.25","3,312.57"
2008,New Hampshire,"3,780.98","2,094.54","5,875.52","2,054.23","1,199.37","3,253.60"
2009,New Hampshire,"3,754.64","2,051.69","5,806.33","2,019.97","1,136.13","3,156.11"
2010,New Hampshire,"3,735.01","2,104.26","5,839.27","1,990.59","1,147.36","3,137.95"
2011,New Hampshire,"3,947.15","2,212.60","6,159.74","2,016.88","1,177.53","3,194.40"
2012,New Hampshire,"4,202.72","2,327.43","6,530.15","2,090.17","1,206.28","3,296.45"
2013,New Hampshire,"4,182.25","2,512.91","6,695.16","2,062.77","1,280.83","3,343.61"
2014,New Hampshire,"4,183.43","2,726.97","6,910.40","2,028.72","1,359.98","3,388.70"
2015,New Hampshire,"4,325.59","2,982.22","7,307.81","2,069.11","1,453.48","3,522.59"
2016,New Hampshire,"4,464.81","3,198.75","7,663.56","2,164.65","1,518.59","3,683.24"
2017,New Hampshire,"4,575.87","3,452.65","8,028.51","2,215.07","1,601.43","3,816.50"
2018,New Hampshire,"4,741.87","3,635.34","8,377.22","2,267.47","1,640.85","3,908.32"
2019,New Hampshire,"4,926.43","3,821.47","8,747.90","2,337.01","1,676.78","4,013.79"
2020,New Hampshire,"5,305.42","3,411.46","8,716.88","2,433.41","1,444.63","3,878.04"
2021,New Hampshire,"5,500.45","4,329.07","9,829.52","2,464.98","1,749.86","4,214.85"
2022,New Hampshire,"5,625.45","4,858.67","10,484.12","2,289.28","1,837.40","4,126.68"
2023,New Hampshire,"5,337.49","5,127.58","10,465.06","2,072.97","1,814.49","3,887.46"
1997,New Jersey,"10,197.03","7,213.73","17,410.75","7,527.58","5,713.13","13,240.71"
1998,New Jersey,"10,620.23","7,723.91","18,344.14","7,724.98","5,967.61","13,692.60"
1999,New Jersey,"11,571.95","8,114.08","19,686.03","8,240.95","6,094.00","14,334.94"
2000,New Jersey,"12,215.86","8,550.19","20,766.05","8,561.17","6,287.05","14,848.23"
2001,New Jersey,"13,455.03","8,777.19","22,232.22","9,138.97","6,268.00","15,406.98"
2002,New Jersey,"14,250.57","9,258.76","23,509.33","9,575.48","6,451.53","16,027.01"
2003,New Jersey,"15,367.61","10,080.23","25,447.85","10,097.99","6,879.81","16,977.80"
2004,New Jersey,"16,055.34","10,671.48","26,726.82","10,103.57","7,091.88","17,195.45"
2005,New Jersey,"16,664.99","11,281.72","27,946.71","10,217.07","7,290.43","17,507.51"
2006,New Jersey,"16,925.16","12,115.50","29,040.66","10,146.57","7,555.00","17,701.57"
2007,New Jersey,"17,379.42","12,638.82","30,018.23","10,027.45","7,562.24","17,589.69"
2008,New Jersey,"17,993.00","12,861.72","30,854.72","9,775.72","7,364.84","17,140.56"
2009,New Jersey,"17,556.64","12,666.77","30,223.40","9,445.37","7,014.28","16,459.65"
2010,New Jersey,"17,858.65","12,914.69","30,773.35","9,517.83","7,041.80","16,559.64"
2011,New Jersey,"18,398.69","13,383.25","31,781.94","9,401.19","7,122.47","16,523.66"
2012,New Jersey,"19,000.38","13,986.20","32,986.58","9,449.61","7,248.87","16,698.48"
2013,New Jersey,"19,069.42","14,724.55","33,793.96","9,405.44","7,505.10","16,910.54"
2014,New Jersey,"19,599.04","15,775.77","35,374.80","9,504.40","7,867.62","17,372.03"
2015,New Jersey,"19,434.24","16,950.68","36,384.92","9,296.21","8,261.45","17,557.66"
2016,New Jersey,"18,850.26","18,096.45","36,946.71","9,139.09","8,591.17","17,730.27"
2017,New Jersey,"19,048.71","19,449.45","38,498.15","9,221.03","9,021.19","18,242.22"
2018,New Jersey,"19,852.06","20,657.65","40,509.71","9,492.87","9,324.06","18,816.92"
2019,New Jersey,"20,458.08","21,645.34","42,103.41","9,704.93","9,497.52","19,202.46"
2020,New Jersey,"21,508.61","18,041.54","39,550.16","9,865.23","7,639.96","17,505.19"
2021,New Jersey,"22,594.12","23,474.57","46,068.70","10,125.37","9,488.71","19,614.08"
2022,New Jersey,"25,789.98","27,992.76","53,782.74","10,495.24","10,586.00","21,081.24"
2023,New Jersey,"26,258.26","31,245.47","57,503.73","10,198.18","11,056.78","21,254.96"
1997,New Mexico,"2,367.28","1,580.20","3,947.48","1,692.58","1,233.28","2,925.86"
1998,New Mexico,"2,321.11","1,643.61","3,964.72","1,610.12","1,249.39","2,859.51"
1999,New Mexico,"2,289.19","1,726.48","4,015.67","1,556.43","1,284.67","2,841.11"
2000,New Mexico,"2,412.07","1,871.75","4,283.82","1,607.13","1,362.31","2,969.43"
2001,New Mexico,"2,485.92","1,957.69","4,443.61","1,589.90","1,381.22","2,971.12"
2002,New Mexico,"2,538.50","2,059.80","4,598.30","1,593.75","1,406.86","3,000.61"
2003,New Mexico,"2,699.87","2,189.28","4,889.15","1,650.55","1,466.87","3,117.42"
2004,New Mexico,"2,883.18","2,326.33","5,209.51","1,699.25","1,512.18","3,211.43"
2005,New Mexico,"3,142.48","2,445.64","5,588.12","1,835.35","1,534.77","3,370.12"
2006,New Mexico,"3,353.95","2,677.71","6,031.66","1,935.55","1,632.52","3,568.06"
2007,New Mexico,"3,569.19","2,807.24","6,376.43","1,967.14","1,652.27","3,619.41"
2008,New Mexico,"3,884.17","2,835.56","6,719.73","2,016.35","1,607.77","3,624.12"
2009,New Mexico,"3,879.94","2,788.19","6,668.13","2,028.92","1,533.15","3,562.06"
2010,New Mexico,"3,905.36","2,835.65","6,741.01","2,054.54","1,541.16","3,595.70"
2011,New Mexico,"4,097.92","2,971.87","7,069.79","2,055.41","1,579.74","3,635.14"
2012,New Mexico,"4,444.25","3,092.85","7,537.10","2,189.61","1,595.24","3,784.85"
2013,New Mexico,"4,422.68","3,309.49","7,732.18","2,159.65","1,671.77","3,831.42"
2014,New Mexico,"4,510.82","3,601.53","8,112.35","2,142.86","1,775.42","3,918.29"
2015,New Mexico,"4,602.60","3,953.58","8,556.19","2,150.42","1,894.51","4,044.93"
2016,New Mexico,"4,635.72","4,227.67","8,863.39","2,191.05","1,961.48","4,152.52"
2017,New Mexico,"4,760.52","4,486.61","9,247.13","2,257.02","2,015.55","4,272.56"
2018,New Mexico,"5,009.90","4,785.05","9,794.95","2,364.91","2,078.80","4,443.71"
2019,New Mexico,"5,214.98","5,037.64","10,252.63","2,424.77","2,113.39","4,538.16"
2020,New Mexico,"5,659.15","4,587.26","10,246.41","2,530.39","1,840.15","4,370.54"
2021,New Mexico,"6,183.10","5,661.38","11,844.47","2,649.12","2,165.45","4,814.56"
2022,New Mexico,"6,545.21","6,433.21","12,978.41","2,517.20","2,293.58","4,810.78"
2023,New Mexico,"6,653.09","7,069.31","13,722.40","2,445.51","2,345.60","4,791.11"
1997,New York,"21,763.17","15,774.33","37,537.50","16,065.86","12,492.95","28,558.82"
1998,New York,"21,922.73","16,593.21","38,515.94","15,946.24","12,820.18","28,766.42"
1999,New York,"22,534.17","17,337.22","39,871.39","16,047.67","13,020.94","29,068.62"
2000,New York,"23,556.21","18,771.57","42,327.78","16,508.77","13,802.95","30,311.71"
2001,New York,"24,615.53","19,061.38","43,676.91","16,719.45","13,612.20","30,331.65"
2002,New York,"25,251.78","19,582.47","44,834.24","16,967.60","13,645.12","30,612.71"
2003,New York,"26,168.13","20,895.69","47,063.81","17,194.96","14,261.42","31,456.38"
2004,New York,"27,483.64","22,510.84","49,994.48","17,295.37","14,959.89","32,255.25"
2005,New York,"29,084.29","23,847.13","52,931.42","17,831.17","15,410.41","33,241.59"
2006,New York,"30,464.09","25,375.51","55,839.60","18,263.11","15,823.70","34,086.81"
2007,New York,"31,646.45","27,285.90","58,932.35","18,259.13","16,326.10","34,585.23"
2008,New York,"32,960.10","28,221.33","61,181.43","17,907.45","16,160.01","34,067.46"
2009,New York,"32,633.25","28,265.46","60,898.71","17,556.50","15,652.12","33,208.62"
2010,New York,"33,788.98","29,728.07","63,517.06","18,007.96","16,209.39","34,217.35"
2011,New York,"35,861.54","32,235.80","68,097.34","18,324.20","17,155.65","35,479.86"
2012,New York,"37,825.95","34,391.80","72,217.75","18,812.27","17,824.85","36,637.12"
2013,New York,"38,506.15","36,791.48","75,297.63","18,992.06","18,752.62","37,744.67"
2014,New York,"39,882.50","40,140.55","80,023.05","19,340.71","20,018.72","39,359.44"
2015,New York,"39,794.18","43,859.82","83,654.00","19,035.22","21,376.47","40,411.70"
2016,New York,"39,689.92","46,306.74","85,996.66","19,242.70","21,983.83","41,226.52"
2017,New York,"41,122.33","50,296.24","91,418.57","19,906.35","23,328.79","43,235.13"
2018,New York,"42,701.66","52,522.04","95,223.69","20,419.10","23,706.39","44,125.49"
2019,New York,"43,516.72","54,327.73","97,844.45","20,643.53","23,837.88","44,481.41"
2020,New York,"44,544.17","41,062.30","85,606.47","20,430.82","17,388.44","37,819.26"
2021,New York,"46,785.84","53,779.70","100,565.55","20,966.69","21,738.41","42,705.10"
2022,New York,"52,989.04","66,382.71","119,371.75","21,563.90","25,103.89","46,667.80"
2023,New York,"54,248.34","75,907.98","130,156.31","21,068.97","26,861.43","47,930.40"
1997,North Carolina,"11,267.00","6,809.20","18,076.21","8,379.52","5,228.65","13,608.16"
1998,North Carolina,"11,408.57","7,181.90","18,590.47","8,360.98","5,373.26","13,734.23"
1999,North Carolina,"12,028.37","7,597.45","19,625.82","8,677.56","5,548.49","14,226.05"
2000,North Carolina,"12,793.19","8,213.69","21,006.88","8,987.92","5,865.55","14,853.47"
2001,North Carolina,"13,403.63","8,581.76","21,985.39","9,155.05","5,968.22","15,123.27"
2002,North Carolina,"13,489.22","9,003.07","22,492.29","9,095.18","6,122.09","15,217.27"
2003,North Carolina,"13,160.08","9,521.62","22,681.70","8,685.65","6,323.64","15,009.29"
