Year,State,FAH sales per capita nominal U.S. dollars without taxes and tips,FAFH sales per capita nominal U.S. dollars without taxes and tips,Total sales per capita nominal U.S. dollars without taxes and tips,FAH sales per capita constant 1988 U.S. dollars without taxes and tips,FAFH sales per capita constant 1988 U.S. dollars without taxes and tips,Total sales per capita constant 1988 U.S. dollars without taxes and tips
2014,Michigan,"2,000.78","1,531.54","3,532.32","1,006.59",730.22,"1,736.81"
2015,Michigan,"2,042.22","1,651.69","3,693.91","1,021.79",764.15,"1,785.95"
2016,Michigan,"2,106.85","1,759.54","3,866.39","1,068.34",793.75,"1,862.09"
2017,Michigan,"2,267.45","1,871.19","4,138.64","1,153.89",830.24,"1,984.13"
2018,Michigan,"2,290.49","1,926.99","4,217.48","1,165.27",835.04,"2,000.31"
2019,Michigan,"2,324.14","1,992.02","4,316.16","1,176.60",840.75,"2,017.35"
2020,Michigan,"2,351.40","1,649.91","4,001.32","1,157.00",679.07,"1,836.07"
2021,Michigan,"2,556.70","2,061.34","4,618.03","1,216.30",807.33,"2,023.63"
2022,Michigan,"2,823.67","2,368.32","5,191.99","1,190.28",853.06,"2,043.34"
2023,Michigan,"2,916.65","2,623.08","5,539.73","1,168.52",884.57,"2,053.09"
1997,Minnesota,"1,345.12",901.46,"2,246.58","1,006.00",687.47,"1,693.46"
1998,Minnesota,"1,366.88",943.78,"2,310.66","1,004.01",701.59,"1,705.59"
1999,Minnesota,"1,439.76",980.11,"2,419.87","1,035.73",710.67,"1,746.40"
2000,Minnesota,"1,464.09","1,026.33","2,490.42","1,029.42",723.71,"1,753.13"
2001,Minnesota,"1,542.79","1,063.60","2,606.39","1,051.98",729.06,"1,781.04"
2002,Minnesota,"1,557.47","1,105.53","2,663.00","1,053.88",741.84,"1,795.72"
2003,Minnesota,"1,580.84","1,153.75","2,734.59","1,054.81",759.08,"1,813.89"
2004,Minnesota,"1,614.37","1,229.60","2,843.98","1,046.84",785.75,"1,832.59"
2005,Minnesota,"1,678.22","1,299.61","2,977.83","1,065.43",803.06,"1,868.49"
2006,Minnesota,"1,698.92","1,344.46","3,043.38","1,061.60",808.73,"1,870.33"
2007,Minnesota,"1,722.32","1,386.64","3,108.96","1,035.10",806.34,"1,841.44"
2008,Minnesota,"1,774.15","1,397.52","3,171.67","1,002.10",775.89,"1,777.99"
2009,Minnesota,"1,752.36","1,364.88","3,117.24",980.49,730.50,"1,710.99"
2010,Minnesota,"1,787.89","1,381.59","3,169.48",995.92,731.40,"1,727.33"
2011,Minnesota,"1,896.00","1,456.15","3,352.14","1,008.72",751.93,"1,760.65"
2012,Minnesota,"2,061.66","1,522.61","3,584.27","1,068.85",764.03,"1,832.88"
2013,Minnesota,"2,111.67","1,586.22","3,697.89","1,088.76",777.19,"1,865.95"
2014,Minnesota,"2,095.23","1,678.53","3,773.75","1,054.11",800.30,"1,854.41"
2015,Minnesota,"2,046.58","1,803.29","3,849.88","1,023.98",834.30,"1,858.27"
2016,Minnesota,"2,058.72","1,894.83","3,953.55","1,043.93",854.78,"1,898.71"
2017,Minnesota,"2,097.69","1,997.86","4,095.55","1,067.50",886.45,"1,953.95"
2018,Minnesota,"2,176.56","2,064.06","4,240.62","1,107.31",894.43,"2,001.75"
2019,Minnesota,"2,215.79","2,135.18","4,350.97","1,121.74",901.17,"2,022.92"
2020,Minnesota,"2,285.24","1,759.27","4,044.51","1,124.45",724.07,"1,848.52"
2021,Minnesota,"2,465.53","2,226.77","4,692.30","1,172.93",872.12,"2,045.05"
2022,Minnesota,"2,643.07","2,569.73","5,212.80","1,114.15",925.61,"2,039.76"
2023,Minnesota,"2,656.48","2,797.15","5,453.63","1,064.28",943.27,"2,007.55"
1997,Mississippi,"1,019.80",674.89,"1,694.69",758.45,518.23,"1,276.68"
1998,Mississippi,"1,051.94",743.12,"1,795.05",770.93,555.97,"1,326.90"
1999,Mississippi,"1,129.00",818.36,"1,947.36",814.49,597.66,"1,412.15"
2000,Mississippi,"1,132.53",872.21,"2,004.74",795.66,622.86,"1,418.52"
2001,Mississippi,"1,221.90",893.06,"2,114.96",834.59,621.09,"1,455.68"
2002,Mississippi,"1,247.74",960.68,"2,208.42",841.30,653.26,"1,494.56"
2003,Mississippi,"1,282.96","1,007.58","2,290.54",846.75,669.17,"1,515.92"
2004,Mississippi,"1,360.90","1,062.57","2,423.47",864.12,684.52,"1,548.64"
2005,Mississippi,"1,440.37","1,085.84","2,526.21",896.35,679.83,"1,576.18"
2006,Mississippi,"1,529.13","1,131.28","2,660.41",933.48,687.19,"1,620.67"
2007,Mississippi,"1,597.59","1,172.09","2,769.68",936.02,688.46,"1,624.48"
2008,Mississippi,"1,671.81","1,211.20","2,883.01",917.79,680.13,"1,597.92"
2009,Mississippi,"1,638.30","1,190.95","2,829.24",892.60,645.33,"1,537.92"
2010,Mississippi,"1,710.77","1,223.71","2,934.48",926.63,654.74,"1,581.36"
2011,Mississippi,"1,796.22","1,299.59","3,095.81",925.53,680.21,"1,605.74"
2012,Mississippi,"1,946.90","1,371.15","3,318.05",976.79,698.44,"1,675.23"
2013,Mississippi,"1,962.46","1,427.07","3,389.53",973.03,710.61,"1,683.64"
2014,Mississippi,"2,013.27","1,511.91","3,525.18",974.47,735.54,"1,710.01"
2015,Mississippi,"1,996.02","1,634.00","3,630.02",956.25,771.39,"1,727.65"
2016,Mississippi,"2,025.17","1,730.02","3,755.19",984.20,800.72,"1,784.92"
2017,Mississippi,"2,196.50","1,829.30","4,025.81","1,069.84",829.96,"1,899.80"
2018,Mississippi,"2,251.81","1,894.47","4,146.28","1,093.51",841.76,"1,935.27"
2019,Mississippi,"2,290.01","1,982.72","4,272.72","1,104.46",854.70,"1,959.16"
2020,Mississippi,"2,409.59","1,885.83","4,295.43","1,122.63",791.33,"1,913.96"
2021,Mississippi,"2,598.10","2,295.10","4,893.20","1,170.26",927.21,"2,097.47"
2022,Mississippi,"2,589.29","2,454.65","5,043.94","1,047.14",920.16,"1,967.30"
2023,Mississippi,"2,597.61","2,616.70","5,214.31",997.22,915.76,"1,912.98"
1997,Missouri,"1,298.42",968.04,"2,266.46",971.08,738.24,"1,709.31"
1998,Missouri,"1,305.89","1,007.27","2,313.16",959.21,748.78,"1,707.99"
1999,Missouri,"1,352.89","1,041.61","2,394.50",973.24,755.26,"1,728.50"
2000,Missouri,"1,374.55","1,081.68","2,456.23",966.47,762.74,"1,729.21"
2001,Missouri,"1,395.61","1,107.62","2,503.23",951.63,759.23,"1,710.86"
2002,Missouri,"1,426.26","1,144.31","2,570.57",965.09,767.87,"1,732.96"
2003,Missouri,"1,513.30","1,188.64","2,701.94","1,009.74",782.03,"1,791.78"
2004,Missouri,"1,578.87","1,254.55","2,833.42","1,023.82",801.69,"1,825.51"
2005,Missouri,"1,672.99","1,303.09","2,976.08","1,062.11",805.21,"1,867.32"
2006,Missouri,"1,740.94","1,365.57","3,106.51","1,087.85",821.43,"1,909.28"
2007,Missouri,"1,798.46","1,400.85","3,199.31","1,080.86",814.61,"1,895.47"
2008,Missouri,"1,851.88","1,426.52","3,278.40","1,046.00",791.99,"1,838.00"
2009,Missouri,"1,806.33","1,401.17","3,207.50","1,010.69",749.92,"1,760.61"
2010,Missouri,"1,886.23","1,425.73","3,311.96","1,050.70",754.77,"1,805.48"
2011,Missouri,"1,940.89","1,480.34","3,421.23","1,032.60",764.42,"1,797.02"
2012,Missouri,"2,051.14","1,535.35","3,586.49","1,063.40",770.42,"1,833.82"
2013,Missouri,"2,094.17","1,603.36","3,697.54","1,079.74",785.59,"1,865.33"
2014,Missouri,"2,131.78","1,706.40","3,838.18","1,072.49",813.59,"1,886.09"
2015,Missouri,"2,130.19","1,845.04","3,975.23","1,065.81",853.61,"1,919.42"
2016,Missouri,"2,162.33","1,947.25","4,109.58","1,096.47",878.42,"1,974.89"
2017,Missouri,"2,291.79","2,048.23","4,340.02","1,166.28",908.79,"2,075.07"
2018,Missouri,"2,330.87","2,119.18","4,450.05","1,185.82",918.32,"2,104.14"
2019,Missouri,"2,333.69","2,190.85","4,524.54","1,181.43",924.67,"2,106.10"
2020,Missouri,"2,396.87","1,976.63","4,373.50","1,179.37",813.54,"1,992.91"
2021,Missouri,"2,563.25","2,433.87","4,997.12","1,219.42",953.23,"2,172.65"
2022,Missouri,"2,646.29","2,673.31","5,319.61","1,115.51",962.92,"2,078.43"
2023,Missouri,"2,668.61","2,865.46","5,534.08","1,069.14",966.31,"2,035.45"
1997,Montana,"1,557.04",910.61,"2,467.66","1,113.27",710.69,"1,823.96"
1998,Montana,"1,579.11",937.09,"2,516.20","1,095.40",712.33,"1,807.73"
1999,Montana,"1,668.42",958.92,"2,627.34","1,134.37",713.53,"1,847.90"
2000,Montana,"1,658.36","1,004.11","2,662.47","1,104.94",730.82,"1,835.76"
2001,Montana,"1,669.17","1,026.19","2,695.36","1,067.53",724.02,"1,791.55"
2002,Montana,"1,671.64","1,070.59","2,742.22","1,049.51",731.22,"1,780.73"
2003,Montana,"1,785.12","1,133.58","2,918.70","1,091.32",759.53,"1,850.85"
2004,Montana,"1,908.95","1,222.16","3,131.11","1,125.08",794.43,"1,919.51"
2005,Montana,"2,052.06","1,300.70","3,352.77","1,198.49",816.26,"2,014.76"
2006,Montana,"2,159.57","1,359.60","3,519.16","1,246.27",828.90,"2,075.18"
2007,Montana,"2,318.83","1,409.93","3,728.76","1,278.01",829.85,"2,107.86"
2008,Montana,"2,367.12","1,455.63","3,822.75","1,228.82",825.35,"2,054.17"
2009,Montana,"2,255.56","1,405.78","3,661.33","1,179.49",773.00,"1,952.48"
2010,Montana,"2,249.20","1,417.82","3,667.01","1,183.26",770.58,"1,953.84"
2011,Montana,"2,297.53","1,488.62","3,786.15","1,152.38",791.30,"1,943.68"
2012,Montana,"2,406.82","1,577.03","3,983.85","1,185.80",813.41,"1,999.21"
2013,Montana,"2,432.49","1,676.91","4,109.39","1,187.81",847.08,"2,034.89"
2014,Montana,"2,545.60","1,781.09","4,326.69","1,209.29",878.01,"2,087.30"
2015,Montana,"2,587.86","1,955.27","4,543.13","1,209.10",936.94,"2,146.04"
2016,Montana,"2,645.29","2,072.02","4,717.30","1,250.28",961.34,"2,211.62"
2017,Montana,"2,764.45","2,187.50","4,951.95","1,310.66",982.70,"2,293.36"
2018,Montana,"2,939.90","2,308.27","5,248.16","1,387.77","1,002.79","2,390.57"
2019,Montana,"3,039.03","2,418.86","5,457.89","1,413.03","1,014.76","2,427.79"
2020,Montana,"3,194.53","2,303.28","5,497.82","1,428.38",923.95,"2,352.32"
2021,Montana,"3,456.27","2,907.71","6,363.98","1,480.82","1,112.18","2,593.00"
2022,Montana,"3,648.47","3,189.96","6,838.44","1,403.15","1,137.29","2,540.44"
2023,Montana,"3,674.42","3,397.25","7,071.67","1,350.63","1,127.21","2,477.83"
1997,Nebraska,"1,444.17",805.27,"2,249.44","1,080.08",614.11,"1,694.19"
1998,Nebraska,"1,490.38",841.81,"2,332.20","1,094.72",625.79,"1,720.51"
1999,Nebraska,"1,559.04",899.61,"2,458.65","1,121.54",652.30,"1,773.84"
2000,Nebraska,"1,588.40",949.82,"2,538.22","1,116.83",669.76,"1,786.59"
2001,Nebraska,"1,603.67",964.77,"2,568.44","1,093.50",661.31,"1,754.82"
2002,Nebraska,"1,551.37",998.08,"2,549.45","1,049.75",669.75,"1,719.49"
2003,Nebraska,"1,607.48","1,048.95","2,656.43","1,072.58",690.13,"1,762.71"
2004,Nebraska,"1,691.76","1,104.27","2,796.03","1,097.02",705.66,"1,802.68"
2005,Nebraska,"1,796.34","1,156.17","2,952.52","1,140.43",714.43,"1,854.85"
2006,Nebraska,"1,831.29","1,205.50","3,036.78","1,144.31",725.14,"1,869.45"
2007,Nebraska,"1,957.23","1,248.44","3,205.67","1,176.28",725.98,"1,902.25"
2008,Nebraska,"2,036.98","1,275.75","3,312.73","1,150.55",708.29,"1,858.84"
2009,Nebraska,"1,976.65","1,264.70","3,241.35","1,105.98",676.89,"1,782.87"
2010,Nebraska,"2,001.37","1,289.67","3,291.05","1,114.85",682.74,"1,797.59"
2011,Nebraska,"2,055.18","1,349.92","3,405.10","1,093.41",697.08,"1,790.48"
2012,Nebraska,"2,163.58","1,409.13","3,572.71","1,121.69",707.08,"1,828.77"
2013,Nebraska,"2,209.63","1,480.81","3,690.44","1,139.26",725.54,"1,864.81"
2014,Nebraska,"2,350.62","1,577.01","3,927.63","1,182.59",751.90,"1,934.49"
2015,Nebraska,"2,395.53","1,696.31","4,091.84","1,198.56",784.80,"1,983.36"
2016,Nebraska,"2,444.02","1,804.76","4,248.78","1,239.31",814.15,"2,053.46"
2017,Nebraska,"2,572.30","1,920.69","4,492.99","1,309.03",852.21,"2,161.23"
2018,Nebraska,"2,593.44","1,987.93","4,581.37","1,319.40",861.44,"2,180.84"
2019,Nebraska,"2,627.20","2,061.09","4,688.28","1,330.02",869.90,"2,199.92"
2020,Nebraska,"2,716.25","1,910.08","4,626.33","1,336.52",786.14,"2,122.67"
2021,Nebraska,"2,956.07","2,348.61","5,304.68","1,406.30",919.84,"2,326.14"
2022,Nebraska,"3,042.44","2,612.70","5,655.14","1,282.50",941.09,"2,223.59"
2023,Nebraska,"3,034.13","2,781.07","5,815.19","1,215.58",937.85,"2,153.43"
1997,Nevada,"1,619.80","2,126.97","3,746.77","1,158.14","1,660.00","2,818.14"
1998,Nevada,"1,600.62","2,177.62","3,778.24","1,110.32","1,655.32","2,765.64"
1999,Nevada,"1,614.46","2,417.71","4,032.17","1,097.68","1,799.02","2,896.70"
2000,Nevada,"1,511.57","2,441.23","3,952.79","1,007.13","1,776.79","2,783.92"
2001,Nevada,"1,540.20","2,377.13","3,917.33",985.05,"1,677.15","2,662.20"
2002,Nevada,"1,538.07","2,336.20","3,874.28",965.65,"1,595.65","2,561.30"
2003,Nevada,"1,599.76","2,367.49","3,967.25",978.00,"1,586.27","2,564.27"
2004,Nevada,"1,697.69","2,476.85","4,174.54","1,000.57","1,610.02","2,610.58"
2005,Nevada,"1,812.76","2,570.12","4,382.87","1,058.73","1,612.89","2,671.62"
2006,Nevada,"1,973.38","2,661.92","4,635.29","1,138.82","1,622.89","2,761.71"
2007,Nevada,"2,074.89","2,672.40","4,747.29","1,143.56","1,572.90","2,716.47"
2008,Nevada,"2,137.90","2,702.03","4,839.93","1,109.82","1,532.06","2,641.88"
2009,Nevada,"2,024.09","2,511.62","4,535.72","1,058.45","1,381.07","2,439.52"
2010,Nevada,"2,029.97","2,606.22","4,636.19","1,067.93","1,416.47","2,484.40"
2011,Nevada,"2,070.65","2,781.24","4,851.88","1,038.58","1,478.40","2,516.98"
2012,Nevada,"2,193.76","2,894.21","5,087.97","1,080.83","1,492.78","2,573.62"
2013,Nevada,"2,231.18","3,054.87","5,286.04","1,089.51","1,543.15","2,632.66"
2014,Nevada,"2,344.81","3,288.26","5,633.07","1,113.90","1,620.99","2,734.90"
2015,Nevada,"2,419.71","3,517.43","5,937.14","1,130.53","1,685.51","2,816.05"
2016,Nevada,"2,414.86","3,661.58","6,076.44","1,141.37","1,698.83","2,840.20"
2017,Nevada,"2,504.75","3,801.02","6,305.77","1,187.53","1,707.55","2,895.08"
2018,Nevada,"2,603.59","3,937.95","6,541.55","1,229.02","1,710.79","2,939.81"
2019,Nevada,"2,709.85","4,086.75","6,796.60","1,259.98","1,714.47","2,974.45"
2020,Nevada,"2,998.84","3,330.26","6,329.10","1,340.87","1,335.91","2,676.79"
2021,Nevada,"3,218.21","4,520.55","7,738.76","1,378.83","1,729.09","3,107.91"
2022,Nevada,"3,758.62","5,337.91","9,096.54","1,445.51","1,903.08","3,348.60"
2023,Nevada,"3,849.29","6,036.84","9,886.14","1,414.90","2,003.02","3,417.93"
1997,New Hampshire,"2,042.39","1,064.12","3,106.51","1,507.72",842.76,"2,350.48"
1998,New Hampshire,"2,045.13","1,111.39","3,156.52","1,487.60",858.68,"2,346.27"
1999,New Hampshire,"2,189.11","1,176.40","3,365.51","1,558.97",883.52,"2,442.49"
2000,New Hampshire,"2,218.09","1,237.99","3,456.08","1,554.49",910.31,"2,464.80"
2001,New Hampshire,"2,277.32","1,273.73","3,551.05","1,546.81",909.60,"2,456.41"
2002,New Hampshire,"2,316.39","1,335.52","3,651.91","1,556.47",930.59,"2,487.06"
2003,New Hampshire,"2,305.37","1,370.28","3,675.65","1,514.85",935.22,"2,450.07"
2004,New Hampshire,"2,436.87","1,449.62","3,886.48","1,533.51",963.36,"2,496.88"
2005,New Hampshire,"2,554.29","1,499.38","4,053.67","1,566.00",968.93,"2,534.93"
2006,New Hampshire,"2,646.01","1,547.71","4,193.72","1,586.27",965.13,"2,551.40"
2007,New Hampshire,"2,743.06","1,572.89","4,315.95","1,582.67",941.12,"2,523.79"
2008,New Hampshire,"2,873.29","1,591.71","4,465.00","1,561.08",911.44,"2,472.52"
2009,New Hampshire,"2,852.85","1,558.91","4,411.76","1,534.82",863.26,"2,398.07"
2010,New Hampshire,"2,836.41","1,598.00","4,434.42","1,511.68",871.32,"2,383.00"
2011,New Hampshire,"2,989.26","1,675.65","4,664.90","1,527.42",891.77,"2,419.19"
2012,New Hampshire,"3,172.64","1,756.98","4,929.62","1,577.87",910.62,"2,488.50"
2013,New Hampshire,"3,151.01","1,893.29","5,044.30","1,554.15",965.01,"2,519.16"
2014,New Hampshire,"3,135.40","2,043.81","5,179.21","1,520.49","1,019.28","2,539.77"
2015,New Hampshire,"3,234.14","2,229.73","5,463.87","1,547.02","1,086.73","2,633.75"
2016,New Hampshire,"3,322.79","2,380.56","5,703.35","1,610.97","1,130.16","2,741.13"
2017,New Hampshire,"3,388.54","2,556.77","5,945.31","1,640.31","1,185.90","2,826.21"
2018,New Hampshire,"3,499.37","2,682.78","6,182.16","1,673.33","1,210.90","2,884.24"
2019,New Hampshire,"3,620.29","2,808.29","6,428.58","1,717.40","1,232.22","2,949.62"
2020,New Hampshire,"3,848.13","2,474.40","6,322.53","1,765.00","1,047.82","2,812.82"
2021,New Hampshire,"3,964.31","3,120.07","7,084.37","1,776.57","1,261.17","3,037.74"
2022,New Hampshire,"4,021.04","3,472.95","7,493.99","1,636.36","1,313.36","2,949.73"
2023,New Hampshire,"3,806.91","3,657.19","7,464.10","1,478.53","1,294.16","2,772.69"
1997,New Jersey,"1,266.05",895.65,"2,161.70",934.62,709.34,"1,643.96"
1998,New Jersey,"1,311.86",954.09,"2,265.96",954.23,737.15,"1,691.38"
1999,New Jersey,"1,421.02",996.40,"2,417.42","1,011.98",748.33,"1,760.31"
2000,New Jersey,"1,448.99","1,014.18","2,463.17","1,015.49",745.74,"1,761.23"
2001,New Jersey,"1,584.31","1,033.50","2,617.81","1,076.10",738.05,"1,814.15"
2002,New Jersey,"1,666.22","1,082.56","2,748.78","1,119.59",754.33,"1,873.93"
2003,New Jersey,"1,786.64","1,171.93","2,958.57","1,173.99",799.85,"1,973.84"
2004,New Jersey,"1,859.43","1,235.90","3,095.33","1,170.13",821.34,"1,991.47"
2005,New Jersey,"1,926.15","1,303.95","3,230.10","1,180.90",842.63,"2,023.53"
2006,New Jersey,"1,954.03","1,398.75","3,352.77","1,171.43",872.23,"2,043.67"
2007,New Jersey,"2,002.73","1,456.44","3,459.16","1,155.52",871.44,"2,026.96"
2008,New Jersey,"2,065.53","1,476.48","3,542.00","1,122.22",845.46,"1,967.67"
2009,New Jersey,"2,005.19","1,446.70","3,451.89","1,078.78",801.12,"1,879.90"
2010,New Jersey,"2,029.52","1,467.67","3,497.19","1,081.64",800.25,"1,881.89"
2011,New Jersey,"2,084.00","1,515.91","3,599.90","1,064.86",806.75,"1,871.62"
2012,New Jersey,"2,147.99","1,581.13","3,729.12","1,068.27",819.48,"1,887.76"
2013,New Jersey,"2,152.83","1,662.32","3,815.16","1,061.82",847.29,"1,909.11"
2014,New Jersey,"2,210.27","1,779.10","3,989.36","1,071.85",887.26,"1,959.12"
2015,New Jersey,"2,190.93","1,910.95","4,101.88","1,048.01",931.36,"1,979.37"
2016,New Jersey,"2,124.31","2,039.36","4,163.67","1,029.92",968.17,"1,998.10"
2017,New Jersey,"2,143.16","2,188.25","4,331.40","1,037.45","1,014.97","2,052.42"
2018,New Jersey,"2,232.64","2,323.24","4,555.89","1,067.61","1,048.62","2,116.23"
2019,New Jersey,"2,300.92","2,434.45","4,735.37","1,091.51","1,068.19","2,159.70"
2020,New Jersey,"2,319.64","1,945.73","4,265.37","1,063.94",823.95,"1,887.88"
2021,New Jersey,"2,437.55","2,532.54","4,970.10","1,092.37","1,023.68","2,116.05"
2022,New Jersey,"2,784.85","3,022.71","5,807.56","1,133.30","1,143.10","2,276.39"
2023,New Jersey,"2,826.25","3,363.04","6,189.29","1,097.66","1,190.07","2,287.73"
1997,New Mexico,"1,373.98",917.15,"2,291.13",982.38,715.80,"1,698.18"
1998,New Mexico,"1,338.95",948.12,"2,287.07",928.80,720.72,"1,649.52"
1999,New Mexico,"1,315.74",992.32,"2,308.06",894.58,738.38,"1,632.97"
2000,New Mexico,"1,324.44","1,027.75","2,352.19",882.45,748.03,"1,630.48"
2001,New Mexico,"1,357.17","1,068.79","2,425.96",867.99,754.07,"1,622.06"
2002,New Mexico,"1,368.23","1,110.22","2,478.45",859.02,758.29,"1,617.31"
2003,New Mexico,"1,437.96","1,166.02","2,603.97",879.09,781.26,"1,660.34"
2004,New Mexico,"1,514.43","1,221.94","2,736.36",892.55,794.29,"1,686.85"
2005,New Mexico,"1,626.31","1,265.68","2,891.99",949.84,794.28,"1,744.12"
2006,New Mexico,"1,709.33","1,364.69","3,074.02",986.45,832.01,"1,818.46"
2007,New Mexico,"1,793.50","1,410.62","3,204.13",988.48,830.26,"1,818.73"
2008,New Mexico,"1,931.79","1,410.26","3,342.05","1,002.83",799.62,"1,802.45"
2009,New Mexico,"1,904.92","1,368.90","3,273.82",996.13,752.72,"1,748.85"
2010,New Mexico,"1,891.57","1,373.45","3,265.02",995.12,746.47,"1,741.59"
2011,New Mexico,"1,969.48","1,428.30","3,397.78",987.84,759.23,"1,747.07"
2012,New Mexico,"2,128.76","1,481.45","3,610.22","1,048.81",764.11,"1,812.92"
2013,New Mexico,"2,113.25","1,581.35","3,694.60","1,031.93",798.81,"1,830.73"
2014,New Mexico,"2,158.04","1,723.03","3,881.07","1,025.18",849.39,"1,874.57"
2015,New Mexico,"2,202.13","1,891.60","4,093.73","1,028.87",906.43,"1,935.31"
2016,New Mexico,"2,215.34","2,020.34","4,235.68","1,047.07",937.36,"1,984.43"
2017,New Mexico,"2,274.67","2,143.79","4,418.45","1,078.44",963.07,"2,041.51"
2018,New Mexico,"2,392.78","2,285.39","4,678.18","1,129.51",992.86,"2,122.37"
2019,New Mexico,"2,483.76","2,399.30","4,883.05","1,154.85","1,006.55","2,161.40"
2020,New Mexico,"2,671.32","2,165.35","4,836.66","1,194.43",868.62,"2,063.05"
2021,New Mexico,"2,920.76","2,674.31","5,595.07","1,251.38","1,022.91","2,274.29"
2022,New Mexico,"3,096.89","3,043.90","6,140.79","1,191.02","1,085.22","2,276.24"
2023,New Mexico,"3,146.60","3,343.46","6,490.06","1,156.61","1,109.36","2,265.97"
1997,New York,"1,199.52",869.44,"2,068.96",885.50,688.58,"1,574.08"
1998,New York,"1,207.25",913.76,"2,121.02",878.14,705.99,"1,584.13"
1999,New York,"1,238.37",952.77,"2,191.15",881.91,715.57,"1,597.48"
2000,New York,"1,239.68",987.88,"2,227.57",868.80,726.40,"1,595.20"
2001,New York,"1,289.93",998.88,"2,288.81",876.15,713.32,"1,589.47"
2002,New York,"1,319.47","1,023.23","2,342.71",886.60,712.99,"1,599.59"
2003,New York,"1,364.63","1,089.68","2,454.32",896.69,743.71,"1,640.41"
2004,New York,"1,433.56","1,174.18","2,607.74",902.14,780.32,"1,682.45"
2005,New York,"1,520.14","1,246.41","2,766.55",931.98,805.45,"1,737.43"
2006,New York,"1,594.59","1,328.24","2,922.83",955.95,828.27,"1,784.22"
2007,New York,"1,654.08","1,426.17","3,080.25",954.36,853.33,"1,807.68"
2008,New York,"1,715.56","1,468.91","3,184.47",932.08,841.12,"1,773.20"
2009,New York,"1,690.22","1,464.00","3,154.22",909.33,810.69,"1,720.02"
2010,New York,"1,741.70","1,532.38","3,274.08",928.25,835.54,"1,763.79"
2011,New York,"1,839.06","1,653.12","3,492.19",939.71,879.78,"1,819.49"
2012,New York,"1,932.42","1,756.98","3,689.41",961.07,910.62,"1,871.69"
2013,New York,"1,961.95","1,874.58","3,836.53",967.67,955.47,"1,923.15"
2014,New York,"2,029.29","2,042.42","4,071.71",984.09,"1,018.59","2,002.68"
2015,New York,"2,024.39","2,231.22","4,255.62",968.35,"1,087.46","2,055.81"
2016,New York,"2,021.24","2,358.21","4,379.45",979.95,"1,119.55","2,099.50"
2017,New York,"2,098.74","2,566.94","4,665.68","1,015.95","1,190.62","2,206.57"
2018,New York,"2,184.89","2,687.36","4,872.25","1,044.77","1,212.97","2,257.74"
2019,New York,"2,235.85","2,791.32","5,027.17","1,060.65","1,224.77","2,285.42"
2020,New York,"2,215.61","2,042.42","4,258.03","1,016.22",864.89,"1,881.11"
2021,New York,"2,356.43","2,708.69","5,065.12","1,056.02","1,094.88","2,150.90"
2022,New York,"2,693.46","3,374.27","6,067.73","1,096.11","1,276.05","2,372.15"
2023,New York,"2,771.84","3,878.55","6,650.39","1,076.53","1,372.50","2,449.03"
1997,North Carolina,"1,516.69",916.61,"2,433.30","1,128.00",703.85,"1,831.84"
1998,North Carolina,"1,511.90",951.77,"2,463.68","1,108.03",712.08,"1,820.11"
1999,North Carolina,"1,572.17",993.03,"2,565.20","1,134.20",725.22,"1,859.42"
2000,North Carolina,"1,583.00","1,016.34","2,599.34","1,112.14",725.79,"1,837.93"
2001,North Carolina,"1,632.57","1,045.27","2,677.84","1,115.09",726.93,"1,842.03"
2002,North Carolina,"1,620.09","1,081.29","2,701.39","1,092.36",735.28,"1,827.64"
2003,North Carolina,"1,562.49","1,130.50","2,692.99","1,031.24",750.80,"1,782.05"
2004,North Carolina,"1,625.31","1,216.51","2,841.83","1,032.02",783.69,"1,815.71"
2005,North Carolina,"1,689.73","1,270.65","2,960.38","1,051.53",795.54,"1,847.07"
2006,North Carolina,"1,713.07","1,348.27","3,061.33","1,045.77",819.00,"1,864.77"
2007,North Carolina,"1,784.50","1,407.95","3,192.45","1,045.53",827.00,"1,872.53"
2008,North Carolina,"1,834.61","1,429.63","3,264.24","1,007.16",802.79,"1,809.95"
2009,North Carolina,"1,754.90","1,386.03","3,140.93",956.13,751.03,"1,707.16"
2010,North Carolina,"1,757.02","1,404.52","3,161.54",951.68,751.48,"1,703.16"
2011,North Carolina,"1,836.39","1,474.70","3,311.09",946.24,771.86,"1,718.09"
2012,North Carolina,"1,967.75","1,554.18","3,521.93",987.25,791.67,"1,778.92"
2013,North Carolina,"1,975.48","1,640.89","3,616.37",979.49,817.08,"1,796.57"
2014,North Carolina,"2,049.53","1,750.97","3,800.50",992.03,851.84,"1,843.87"
2015,North Carolina,"2,076.77","1,892.79","3,969.56",994.94,893.57,"1,888.51"
2016,North Carolina,"2,119.28","2,006.44","4,125.72","1,029.94",928.66,"1,958.60"
2017,North Carolina,"2,240.20","2,132.60","4,372.80","1,091.13",967.57,"2,058.69"
2018,North Carolina,"2,292.34","2,212.83","4,505.17","1,113.19",983.22,"2,096.41"
2019,North Carolina,"2,368.76","2,321.16","4,689.92","1,142.44","1,000.59","2,143.03"
2020,North Carolina,"2,604.16","2,125.12","4,729.28","1,213.28",891.74,"2,105.01"
2021,North Carolina,"2,807.82","2,578.53","5,386.35","1,264.72","1,041.71","2,306.43"
2022,North Carolina,"2,974.00","2,885.81","5,859.81","1,202.72","1,081.79","2,284.51"
